"","Location","Range_Min","Range_Max","Magic","Avg_Relative_Error","Max_Relative_Error","N","Bottom"
"2914",58,1.19384765625,1.21451822916667,1597398203,1.06403854260861e-06,3.21867901220685e-06,96,"point0156"
"2915",59,1.21451822916667,1.23518880208333,1597355324,9.34098864036059e-07,2.84848306364438e-06,96,"point0156"
"2916",60,1.23518880208333,1.255859375,1597315663,8.08354570835945e-07,2.47144976128766e-06,96,"point0156"
"2917",61,1.255859375,1.27652994791667,1597279106,6.90184265295102e-07,2.13758175959811e-06,96,"point0156"
"2918",62,1.27652994791667,1.29720052083333,1597245606,5.86271312386089e-07,1.8329188833377e-06,96,"point0156"
"2919",63,1.29720052083333,1.31787109375,1597214896,5.01026647725666e-07,1.5737116427772e-06,96,"point0156"
"2920",64,1.31787109375,1.33854166666667,1597187083,4.18054412421043e-07,1.3102340972182e-06,96,"point0156"
"2921",65,1.33854166666667,1.35921223958333,1597161770,3.51125606812275e-07,1.11183885564969e-06,96,"point0156"
"2922",66,1.35921223958333,1.3798828125,1597139162,2.85912733488658e-07,9.10215987914853e-07,96,"point0156"
"2923",67,1.3798828125,1.40055338541667,1597118532,2.3267494952961e-07,7.70280735196138e-07,96,"point0156"
"2924",68,1.40055338541667,1.42122395833333,1597100680,1.83905953576868e-07,6.34912794339471e-07,96,"point0156"
"2925",69,1.42122395833333,1.44189453125,1597084930,1.44153460723828e-07,5.00954172366619e-07,96,"point0156"
"2926",70,1.44189453125,1.46256510416667,1597071739,1.08774322882255e-07,3.60418596301315e-07,96,"point0156"
"2927",71,1.46256510416667,1.48323567708333,1597060422,8.16498797462373e-08,2.90365136379478e-07,96,"point0156"
"2928",72,1.48323567708333,1.50390625,1597051117,5.92383457842516e-08,2.19285468006092e-07,96,"point0156"
"2929",73,1.50390625,1.52457682291667,1597043629,4.4181049929648e-08,2.19387899846879e-07,96,"point0156"
"2930",74,1.52457682291667,1.54524739583333,1597037876,3.66972159326906e-08,1.48178315839687e-07,96,"point0156"
"2931",75,1.54524739583333,1.56591796875,1597033939,3.64429695309809e-08,1.48960097590134e-07,96,"point0156"
"2932",76,1.56591796875,1.58658854166667,1597032757,3.22932081076033e-08,1.49952583683444e-07,96,"point0156"
"2933",77,1.58658854166667,1.60725911458333,1597033320,2.8986416822363e-08,1.50980014268498e-07,96,"point0156"
"2934",78,1.60725911458333,1.6279296875,1597035644,3.48516380199726e-08,1.51907826761999e-07,96,"point0156"
"2935",79,1.6279296875,1.64860026041667,1597038618,4.02207760430429e-08,1.53044055650753e-07,96,"point0156"
"2936",80,1.64860026041667,1.66927083333333,1597042790,4.28819468822894e-08,1.5401670339088e-07,96,"point0156"
"2937",81,1.66927083333333,1.68994140625,1597049330,5.56424772923947e-08,2.31231510383623e-07,96,"point0156"
"2938",82,1.68994140625,1.71061197916667,1597056602,6.59602790165081e-08,2.33871276122954e-07,96,"point0156"
"2939",83,1.71061197916667,1.73128255208333,1597066053,8.69239258349808e-08,3.13701235654662e-07,96,"point0156"
"2940",84,1.73128255208333,1.751953125,1597076617,1.08678214871816e-07,3.94446601603704e-07,96,"point0156"
"2941",85,1.751953125,1.77262369791667,1597088532,1.32577724798466e-07,4.73495504138555e-07,96,"point0156"
"2942",86,1.77262369791667,1.79329427083333,1597101633,1.61163484335702e-07,5.55639985577727e-07,96,"point0156"
"2943",87,1.79329427083333,1.81396484375,1597116188,1.90851764614308e-07,6.38704420907743e-07,96,"point0156"
"2944",88,1.81396484375,1.83463541666667,1597131837,2.2092719120792e-07,7.26587529698008e-07,96,"point0156"
"2945",89,1.83463541666667,1.85530598958333,1597148482,2.58563403576773e-07,8.11872382655565e-07,96,"point0156"
